system:index,CCA,Date,Elevation,SCA,.geo
Andes_MCDS4S5_Yearly_Monthly_2000_05_22_Andes_MCDS4S5_Yearly_Monthly_2000_05_22,21.77,2000-05-01,5600.0,42.44,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_23_Andes_MCDS4S5_Yearly_Monthly_2000_05_23,24.10,2000-05-01,5700.0,51.99,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_24_Andes_MCDS4S5_Yearly_Monthly_2000_05_24,27.35,2000-05-01,5800.0,61.55,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_25_Andes_MCDS4S5_Yearly_Monthly_2000_05_25,28.44,2000-05-01,5900.0,93.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_26_Andes_MCDS4S5_Yearly_Monthly_2000_05_26,28.66,2000-05-01,6000.0,94.16,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_27_Andes_MCDS4S5_Yearly_Monthly_2000_05_27,29.40,2000-05-01,6100.0,96.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_05_28_Andes_MCDS4S5_Yearly_Monthly_2000_05_28,27.59,2000-05-01,6200.0,95.24,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_06_0_Andes_MCDS4S5_Yearly_Monthly_2000_06_0,3.63,2000-06-01,3400.0,0.84,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_06_1_Andes_MCDS4S5_Yearly_Monthly_2000_06_1,6.56,2000-06-01,3500.0,9.22,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_06_2_Andes_MCDS4S5_Yearly_Monthly_2000_06_2,7.82,2000-06-01,3600.0,6.43,"{""type"":""MultiPoint"",""coordinates"":[]}"
